Trial,W1_Mean,W1_Std,W2_Mean,W2_Std,Motor_Spikes,Sensor_A_Spikes,Sensor_B_Spikes
0,2.552029,0.015989,0.037990,0.039504,2000,6977,6786
1,2.571370,0.025784,0.072338,0.062858,2000,6973,6786
2,2.590723,0.029409,0.098412,0.094880,2000,6976,6786
3,2.609134,0.035217,0.127642,0.123857,2000,6976,6786
4,2.631803,0.042211,0.156737,0.142614,2000,6962,6786
5,2.650907,0.046746,0.181600,0.167152,2000,6976,6786
6,2.674754,0.053387,0.203760,0.195738,2000,6976,6786
7,2.693818,0.057192,0.219565,0.206053,2000,6976,6786
8,2.716977,0.062629,0.220608,0.208079,2000,6977,6786
9,2.740711,0.071659,0.222868,0.212550,2000,6976,6786
10,2.764467,0.078122,0.224502,0.209870,2000,6976,6786
11,2.785132,0.082473,0.223052,0.214312,2000,6972,6786
12,2.808498,0.084948,0.216253,0.213040,2000,6976,6786
13,2.832915,0.088682,0.217423,0.219767,2000,6976,6786
14,2.856818,0.095836,0.213761,0.222416,2000,6976,6786
15,2.876397,0.099810,0.214134,0.234341,2000,6976,6786
16,2.894603,0.097001,0.222213,0.233849,2000,6961,6786
17,2.914765,0.103443,0.232352,0.242603,2000,6972,6786
18,2.935961,0.108988,0.247874,0.254168,2000,6962,6786
19,2.958393,0.113441,0.260894,0.261525,2000,6976,6786
20,2.981808,0.116651,0.275542,0.260494,2000,6976,6786
21,3.004695,0.118636,0.272853,0.254599,2000,6976,6786
22,3.026310,0.121993,0.268703,0.265749,2000,6976,6786
23,3.045046,0.119904,0.272937,0.278864,2000,6972,6786
24,3.065732,0.124208,0.293049,0.284770,2000,6973,6786
25,3.090575,0.123584,0.302846,0.291394,2000,6972,6786
26,3.111068,0.128298,0.324793,0.299548,2000,6961,6786
27,3.133043,0.133292,0.335995,0.316515,2000,6976,6786
28,3.159546,0.139424,0.331775,0.333643,2000,6976,6786
29,3.176003,0.138430,0.332162,0.342619,2000,6976,6786
30,3.195686,0.144081,0.344382,0.354257,2000,6961,6786
31,3.215949,0.144538,0.359686,0.368417,2000,6976,6786
32,3.238952,0.144684,0.364136,0.371126,2000,6976,6786
33,3.259754,0.145913,0.362176,0.363295,2000,6972,6786
34,3.282997,0.151015,0.372993,0.364195,2000,6967,6786
35,3.306453,0.151243,0.388185,0.367303,2000,6976,6786
36,3.325329,0.155271,0.394948,0.378189,2000,6976,6787
37,3.347394,0.162410,0.397329,0.384318,2000,6976,6786
38,3.371846,0.164860,0.393849,0.393519,2000,6962,6786
39,3.393918,0.169573,0.392563,0.404697,2000,6976,6786
40,3.415428,0.170786,0.401094,0.414728,2000,6963,6786
41,3.435044,0.170739,0.411692,0.415804,2000,6961,6786
42,3.452347,0.174674,0.425990,0.419849,2000,6961,6786
43,3.475060,0.178406,0.428949,0.424205,2000,6976,6786
44,3.497420,0.182241,0.428621,0.433042,2000,6976,6786
45,3.521013,0.186623,0.435434,0.437902,2000,6976,6786
46,3.543880,0.184071,0.439453,0.440567,2000,6972,6786
47,3.570287,0.190010,0.431760,0.440014,2000,6972,6786
48,3.592127,0.198140,0.422927,0.440666,2000,6972,6786
49,3.609833,0.204330,0.421781,0.443698,2000,6976,6786
